route_short_name,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
LineaA,-34.6088132176,-58.3708655834,1,0
LineaA,-34.6085394761,-58.3720564842,2,0.1141
LineaA,-34.6084798709,-58.372567445,3,0.1621
LineaA,-34.6084776633,-58.37313205,4,0.2148
LineaA,-34.6085041545,-58.3735477924,5,0.2537
LineaA,-34.6086807621,-58.3760154247,6,0.4847
LineaA,-34.608848539,-58.3783757687,7,0.7056
LineaA,-34.6090074853,-58.3807253838,8,0.9254
LineaA,-34.6091840918,-58.3835148811,9,1.1864
LineaA,-34.6093253768,-58.3851141483,10,1.3362
LineaA,-34.6093960192,-58.3857223392,11,1.3934
LineaA,-34.6094313404,-58.386400938,12,1.4568
LineaA,-34.6094445858,-58.387465775,13,1.5563
LineaA,-34.6090869582,-58.388890028,14,1.6934
LineaA,-34.6091840918,-58.3909285069,15,1.8839
LineaA,-34.6092635646,-58.3929777145,16,2.0753
LineaA,-34.6093783586,-58.394844532,17,2.2499
LineaA,-34.6095902855,-58.3975160122,18,2.5001
LineaA,-34.609775721,-58.4002196789,19,2.7531
LineaA,-34.6099346655,-58.4029448032,20,3.008
LineaA,-34.6100340056,-58.4055411816,21,3.2505
LineaA,-34.6097183244,-58.4066194296,22,3.3554
LineaA,-34.6094909448,-58.4074670076,23,3.4373
LineaA,-34.6094197506,-58.407683596,24,3.4586
LineaA,-34.6094412744,-58.4079484642,25,3.4834
LineaA,-34.6095770401,-58.408408463,26,3.5282
LineaA,-34.6098927218,-58.409229219,27,3.6103
LineaA,-34.6101774967,-58.4102806449,28,3.712
LineaA,-34.6103496857,-58.4115439653,29,3.831
LineaA,-34.610638874,-58.4130969644,30,3.9785
LineaA,-34.610720553,-58.4144675732,31,4.1067
LineaA,-34.6107845716,-58.414966464,32,4.1536
LineaA,-34.6108817032,-58.4158220887,33,4.234
LineaA,-34.6109037785,-58.4164685011,34,4.2944
LineaA,-34.6109148162,-58.4169667214,35,4.3409
LineaA,-34.6109241982,-58.4171135724,36,4.3547
LineaA,-34.6109374434,-58.4173133969,37,4.3734
